Gene_acc,Gene_id,Signed_Rank_DM_vs_Plus,FDR_DM_vs_Plus,Signed_Rank_Plus_vs_Minus,FDR_Plus_vs_Minus,Desc
0,Tb05.5K5.110,0.010549145781739938,0.6340899999999999,-0.06599214157424403,0.66851,"major vault protein, putative"
1,Tb06.3A7.270,-0.06166255985683524,0.26941,-0.11669871600204591,0.41156000000000004,"hypothetical protein, conserved"
2,Tb06.3A7.960,0.11092332501031674,0.5907600000000001,-0.05956337510877462,0.7016,hypothetical protein
3,Tb07.11L3.100,0.1225984193552309,0.55045,0.11560617340133027,0.13581,SUMO-interacting motif-containing protein
4,Tb09.v4.0015,-0.287338519235636,0.0119,0.027499637660064535,0.58758,hypothetical protein
5,Tb10.v4.0033,0.3775799060389271,0.0207,-0.12571399153085175,0.3174,pumillo RNA binding protein PUF1
6,Tb10.v4.0035,0.09133332701802244,0.75111,-0.070490850578276,0.69263,"stress-inducible protein STI1-like, putative"
7,Tb10.v4.0041,0.11651821976717418,0.76277,0.02378161256586023,0.68912,"PUB domain containing protein, putative"
8,Tb10.v4.0052,-0.2429647469925059,0.01782,-0.02328114227701403,0.87708,microtubule-associated protein 2
9,Tb11.01.2730,0.05154265612671694,0.8622299999999999,0.05168855771390638,0.40495,"hypothetical protein, conserved"
10,Tb11.02.5070b,-0.041176447881973034,0.33366,-0.018897334660879492,0.85514,"hypothetical protein, conserved"
11,Tb11.02.5090b,-0.06392890737033148,0.24355,0.0179284652235627,0.6594399999999999,"proliferator-activated receptor-interacting protein (PRIP) interacting protein (PIMT), putative, pseudogene"
12,Tb11.02.5105b,0.12814579502712795,0.50593,0.040800514936962975,0.46088,"hypothetical protein, conserved"
13,Tb11.02.5360b,-0.05445720284402977,0.27299,0.06938186910909178,0.29131,"hypothetical protein, conserved"
14,Tb11.02.5370b,0.13706785929830426,0.5293399999999999,-0.09362537014670826,0.55235,"hypothetical protein, conserved"
15,Tb11.02.5380b,-0.02771633043431749,0.40657,-0.07179459557530506,0.6358,"exosome complex exonuclease RRP44p homologue, putative"
16,Tb11.02.5390b,0.03726470687876168,0.7862,-0.06558428246596984,0.66788,"mRNA processing protein, putative"
17,Tb11.02.5400b,-0.08587276299959878,0.17317000000000002,-0.09196062680360452,0.48886999999999997,"cystathionine beta-synthase, putative"
18,Tb11.02.5410b,0.07520529707701418,0.7861199999999999,-0.06678510720857168,0.65642,"ubiquitin activating enzyme, putative"
19,Tb11.02.5420b,-0.0651886687852375,0.24251,-0.1492367293472971,0.21725999999999998,"NADPH-cytochrome p450 reductase, putative"
20,Tb11.02.5430b,0.08233952325081303,0.82937,-0.05477212826264446,0.7855300000000001,"hypothetical protein, conserved"
21,Tb11.0320,0.04584529413203409,0.8239200000000001,-0.038702717523059295,0.83101,hypothetical protein
22,Tb11.0400,0.5872920934844618,0.00278,0.9363224562080368,0.0,"P27 protein, putative"
23,Tb11.0870,0.12225280353296089,0.5382600000000001,0.006942001459928481,0.7871,hypothetical protein
